,numero,ano,ementa,categoria_geral,sub_categoria
252,1264,2001,Dispõe sobre a isenção de taxas e impostos do plano arrendamento residencial par.,dispõe,outra
253,1265,2003,Altera a composição do conselho municipal de promoção dos direitos da criança e do adolescente do município do ipojuca.,altera lei,-
254,1266,2001,Cria cargos comissionados.,cria,cargos
255,1267,2001,Dispõe sobre abertura de^rédito suplementar e de providências correlatas.,dispõe,outra
256,1269,2001,"Estabelece deveres e atribuições aos cargos de provimento efetivo e comislsionado criados pela lei n° 1236/2001, aumenta a quantidade de vagas dos cargos assessor parlamentar e dá outras providências.",receitas e despesas,estabelece
257,1270,2001,Autoriza o município de ipojuca conceder a telecomunicações de pernambuco s/a telemar a permissão de uso de bem público e dá outras providências.,autoriza poder executivo,outra
258,1271,2001,Dispõe sobre as direírizes para a elaboração da lei orçamentaria de 2002 e dá outras providências.,dispõe,outra
259,1272,2001,Dispõe sobre a criação de cargos de provimento em comissão no quadro de pessoal do poder executivo municipal.,dispõe,criação
260,1273,2001,"Implanta o programa saúde da família psf no âmbito da administração municipal, e dá outras providências.",outra,outra
261,1274,2001,Dispõe sobre a criação de cargo no quadro de pessoal do poder executivo municipal.,dispõe,criação
262,1275,2001,Autoriza a cessão do direito de uso do imóvel que indica e dá outras providências.,autoriza poder executivo,outra
263,1276,2001,Cria nome de vila situada no acesso principal à sede do município de ipojuca e dá outras providências.,cria,nome
264,1277,2001,Dispõe sobre o plano plurianual do município de ipojuca para o período 2002-2005 e dá outras providências.,dispõe,plano
265,1278,2001,Dispõe sobre abertura de crédito suplementar e de providências correlatas.,dispõe,crédito
266,1279,2001,Cria o conselho municipal de desenvolvimento sustentável - cmds.,cria,conselho
267,1280,2001,"Implanta o projeto agente jovem de desenvolvimento social e humano, no âmbito da administração municipal, e dá outras providências.",outra,outra
268,1281,2001,"Implanta o programa sentinela - projeto resgate, no âmbito da administração municipal, e dá outras providências.",outra,outra
269,1282,2001,Cria nome de rua situada na sede do município de ipojuca e dá outras providências.,cria,nome
270,1283,2001,Institui na rede municipal de ensino a disciplina que trata da história do ipojuca e dá outras providências.,institui,outra
271,1283,2001,Denomina praça euclides augusto dos santos à praça do convento.,denomina,praça
272,1284,2001,Dispõe sobre a introdução do nome do nome do vereador em lei de sua autoria e dá outras providências.,dispõe,outra
273,1285,2001,"Dispõe sobre o plantio, extração, poda, substituição de árvores e dá outras providências.",dispõe,outra
274,1286,2001,"Cria o plano de regulamentação da orla do município do ipojuca pernambuco, definindo normas para uso e ocupação do solo na faixa litorânea do município e comissão de análise de projetos especiais e/ou de impacto e dá outras providências.",cria,outra
275,1287,2001,Cria nome de praça localizada na sede do município de ipojuca e dá outras providências.,cria,nome
276,1288,2001,Dispõe sobre o atendimento de clientes e/ou usuários em estabelecimentos bancários no município de ipojuca.,dispõe,outra
277,1290,2001,"Denomina avenida josé soares de medeiros, à via urbana que liga a av. gilvam leôncio marques à pe-60.",denomina,outra
278,1291,2001,Autoriza a contratação por tempo determinado de profissionais para atuarem no âmbito da administração pública municipal.,autoriza poder executivo,outra
279,1293,2001,Cria nome de escola localizada na sede do município de ipojuca e dá outras providências.,cria,nome
280,1294,2001,"Denomina de hospital santo cristo, o hospital localizado na sede do município de ipojuca.",denomina,outra
281,1295,2001,Redefine as divisas interdistritais do município e dá outras providências.,outra,outra
282,1296,2001,"Dá nova redação a dispositivos da lei n.° 1279, de 18 de outubro de 2001.",altera lei,-
283,1297,2001,Vigilância dispõe sobre a taxa de sanitária e dá outras providências.,outra,outra
284,1298,2001,"Concede anistia parcial de débitos para a com a fazenda municipal, para débitos inscritos e passíveis de inscrição em dívida ativa e dá outras providências.",concede,outra
285,1299,2001,"Dispõe sobre a criação do departamento de defesa social, e dá outras providências.",dispõe,criação
286,1300,2001,"Aumente a verba de gabinete, e dá outras providências.",outra,outra
287,1301,2001,"Dispõe sobre o aumento do número de cargos comissionados de assessor parlamentar, símbolo ap-1, na câmara municipal de ipojuca e dá outras providências.",dispõe,aumento
288,1302,2001,Dispõe sobre o reajuste dos funcionários efetivos e comissionados da câmara municipal de ipojuca.,dispõe,reajuste
289,1304,2001,"Acrescenta parágrafo único no artigo 2.° da lei n.° 1.263/01, e dá outras providências.",outra,outra
290,1305,2001,Institui regulamento e o disciplinamento das sanções aplicáveis aos atos ofensivos à limpeza urbana e dá outras providências.,institui,outra
291,1306,2002,Dispõe sobre a criação de abono provisório para os servidores estatutários ativos do quadro de pessoal do poder executivo municipal.,dispõe,criação
292,1307,2002,"Altera dispositivos da lei n.° 1158/98 de 30 de abril de 1998, que dispõe sobre o programa municipal de agentes comunitários de saúde pacs, sua estrutura e funcionamento, e dá outras providências.",altera lei,-
293,1308,2002,"Autoriza a contratação temporária de pessoa! por excepcional interesse público para as funções que especifica, e dá outras providências.",autoriza poder executivo,outra
294,1309,2002,Concede em caráter excepcional pensão especial temporária.,concede,outra
295,1310,2002,"Autoriza destinação de recursos, para direta ou indiretamente, cobrir necessidades de pessoas físicas.",autoriza poder executivo,outra
296,1311,2002,Reajusta vencimentos de servidores públicos municipal que percebam retribuição inferior ao salário mínimo vigente no país.,reajusta,outra
297,1312,2002,"Dispõe sobre o regime próprio de previdência municipal, do município do ipojuca, do estado de pernambuco, de conformidade com a legislação federal e adota outras providências.",dispõe,outra
298,1313,2002,Designa ordenadores de despesas no âmbito do poder executivo municipal e dá outras providências.,outra,outra
299,1314,2002,Cria o conselho municipal do idoso e dá outras providências.,cria,conselho
300,1315,2002,"Autoriza transferência de recursos ao setor privado à pessoas jurídicas que prestem serviço à população sem fins lucrativos, demonstrado o interesse público.",autoriza poder executivo,outra
301,1316,2002,Institui horário para funcionamento dos estabelecimentos comerciais e dá outras providências.,institui,outra
302,1317,2002,Dispõe sobre a revisão do plano plurianual do município de ipojuca para o exercício de 2003 e dá outras providencias.,dispõe,revisão
303,1318,2002,Estabelece as diretrizes orçamentarias do município de ipojuca para o exercício de 2003 e dá outras providências.,receitas e despesas,estabelece
304,1319,2002,"Dispõe sobre a estrutura administrativa e organizacional da secretaria de saúde e bem estar social, altera a lei n.° 1234/2001 e dá outras providências,",dispõe,estrutura
305,1320,2002,Cria nome de logradouro público localizado neste município do ipojuca e dá outras providências.,cria,nome
306,1321,2002,"Dispõe sobre obrigatoriedade do diagnóstico da audição dos bebés, imediatamente após o nascimento, nas maternidades e hospitais da rede municipal de saúde e, no máximo, até três meses de vida, dos bebés nascidos fora das maternidades e dá outras providências.",dispõe,outra
307,1322,2002,"Autoriza o poder executivo municipal a permutar bem imóvel de sua propriedade, por bem imóvel de propriedade do tribunal de justiça de pernambuco e dá outras providências.",autoriza poder executivo,outra
308,1323,2002,Dispõe sobre a criação do conselho municipal de cultura e dá outras providências. (projeto de lei de autoria do vereador romero antónio raposo sales).,dispõe,criação
309,1324,2002,"Altera o anexo i da lei n.° 1315/2002, de 25 de junho de 2002.",altera lei,-
310,1325,2002,Altera a redação de dispositivos da lei n.° 1312/2002.,altera lei,-
311,1326,2002,Dispõe sobre a abertura de crédito especial e dá outras providências.,dispõe,abertura
312,1327,2002,"Autoriza o poder executivo, doar os imóveis que indica.",autoriza poder executivo,outra
313,1328,2002,Dispõe sobre a abertura de créditos suplementares ao orçamento do exercício de 2002.,dispõe,abertura
314,1329,2002,Cria nome de escola localizada em engenho neste município do ipojuca e dá outras providências.,cria,nome
315,1330,2002,"Cria nome de escola modelo localizada no loteamento canoas no distrito de nossa senhora do ó, neste município do ipojuca e dá outras providências.",cria,nome
316,1331,2002,"Cria nome de praça localizada na praia de porto de galinhas, neste município do ipojuca e dá outras providências.",cria,nome
317,1332,2002,"Revoga a lei n.° 1324/2002, de 21 de agosto de 2002 e altera o anexo l da lei n.° 1315/2002, de 25 de junho de 2002.",revoga,outra
318,1333,2002,Cria a medalha jaime agostinho lins e dá outras providências.,cria,outra
319,1334,2002,"Autoriza o poder executivo municipal, a compensar a área da alameda existente entre os lotes 5-a e 6-a, por área correspondente a ser acrescida na alameda existente entre os lotes 6-a e 7-a da área denominada merepe b-2, em enseada do cupê, neste município e dá outras providências.",autoriza poder executivo,outra
320,1335,2002,Cria o trofeu josé gomes de vasconcelos e dá outras providências.,cria,outra
321,1336,2003,Estima a receita e fixa a despesa da prefeitura do ipojuca para o exercício de 2003.,receitas e despesas,estima
322,1337,2002,Dispõe sobre a destinação de subvenções sociais e auxílios ao setor privado e dá outras providências.,dispõe,outra
323,1338,2002,"Cria nome de rua localizada na praia de maracaípe, neste município do ipojuca, e dá outras providências.",cria,nome
324,1339,2002,"Cria nome de rua localizada na praia de maracaípe, neste município do ipojuca, e dá outras providências.",cria,nome
325,1340,2002,"Cria nome de rua localizada na praia de porto de galinhas, neste município do ipojuca, e dá outras providências.",cria,nome
326,1341,2002,Aletera a denominação da praça getúlio vargas e dá outras providências.,outra,outra
327,1342,2002,Aumente a verba de gabinete e dá outras providências.,outra,outra
328,1343,2002,"Introduz modificações e inclusões nas normas urbanística da lei n.° 1286, de 14 de novembro de 2001.",outra,outra
329,1344,2002,"Aprova o programa de enfrentamento à pobreza do conselho municipal de assistência social - cmas/departamento do bem estar social, e dá outras providências.",outra,outra
330,1345,2002,"Introduz modificação na lei n° 733, de 24 de março de 1977 e alterações, dando outras providências.",outra,outra
331,1346,2003,"Dispõe sobre a criação de cargo comissionados, no âmbito da secretaria de educação, cultura e esportes.",dispõe,criação
332,1347,2003,Dispõe sobre a criação do cargo em comissão de procurador da câmara municipal de ipojuca e dá outras providências.,dispõe,criação
333,1348,2003,"Dispõe sobre o aumento do número de cargos comissionados de assessor parlamentar, símbolo ap-1, na câmara municipal de ipojuca e dá outras providências.",dispõe,aumento
334,1349,2003,Autoriza o poder executivo municipal a destinar subvenções e auxílios ao setor privado e dá outras providências.,autoriza poder executivo,outra
335,1350,2003,Dispõe sobre a criação de abono provisório para os servidores estatutários ativos do quadro de pessoal do poder executivo municipal e dá outras providências.,dispõe,criação
336,1351,2003,"Institui o plano de cargo, carreira e remuneração do magistério público municipal e dá outras providências.",institui,outra
337,1352,2003,Reajusta vencimentos de servidores públicos municipais que percebam retribuição inferior ao salário mínimo vigente no país.,reajusta,outra
338,1353,2003,Dispõe sobre o reajuste dos vencimentos dos funcionários comissionados da câmara municipal de ipojuca.,dispõe,reajuste
339,1354,2003,Dispõe sobre o conselho municipal de. promoção e defesa dos direitos da criança e do adolescente do município do ipojuca e dá outra providencias.,dispõe,outra
340,1355,2003,"Dispõe sobre os conselhos tutelares do município do ipojuca, estabelece direitos e deveres dos seus membros e dá outras providências.",dispõe,outra
341,1356,2003,Dispõe sobre a criação do fundo municipal de promoção e defesa dos direitos da criança e do adolescente e dá outras providências.,dispõe,criação
342,1357,2003,"Altera dispositivos da lei n.° 1307/2002, de 31 de janeiro de 2002,. que dispõe sobre o programa municipal de agentes comunitários de saúde - pacs, sua estrutura e funcionamento, e dá outras providências.",altera lei,-
343,1358,2003,"Altera o anexo l da lei municipal n.° 1349, de 25 de fevereiro de 2003.",altera lei,-
344,1359,2003,"Altera o anexo l da lei municipal n.° 1349, de 25 de fevereiro de 2003.",altera lei,-
345,1360,2003,"Altera o anexo l da lei municipal n.° 1349, de 25 de fevereiro de 2003.",altera lei,-
346,1361,2003,Institui o programa a caminho da escola e dá outras providências.,institui,programa
347,1362,2003,"Cria nome de rua localizada na praia de porto de galinhas, neste município do ipojuca e dá outras providências.",cria,nome
348,1364,2003,Lei das diretrizes orçamentárias - ldo.,outra,outra
349,1365,2003,"Dá nova redação e acrescenta dispositivos à lei n.° 1064, de 15 de junho de 1994.",altera lei,-
350,1366,2003,Autoriza abertura de créditos suplementares e dá outras providências.,autoriza poder executivo,outra
351,1367,2003,Estima a receita e fixa a despesa da prefeitura do ipojuca para o exercício 2004.,receitas e despesas,estima
352,1368,2003,"Estima a receita e fixa a despesa da prefeitura do ipojuca, para o exercício de 2004.",receitas e despesas,estima
353,1369,2003,"Modifica e renumera a lei municipal n° 1.139/97, que cria o conselho municipal de assitência social cmas e dá outras providências.",altera lei,-
354,1370,2003,Autoriza realização da jornada de dedicação exclusiva para professores contratados pela lei municipal 1.308/02 para atuação do peti programa de erradicação do trabalho infantil.,autoriza poder executivo,outra
355,1371,2003,Modifica a lei municipal n.° 1.312/02 e dá outras providencias.,altera lei,-
356,1372,2003,Cria o fundo municipal de desenvolvimento sustentável e dá outras providencias.,cria,outra
357,1373,2003,Dispõe sobre o reajuste dos funcionários da câmara municipal de ipojuca.,dispõe,reajuste
358,1374,2003,Dispõe sobre o aumento do número de cargos comissionados assessor parlamentar nível l - símbolo ap-i na estrutura da câmara municipal do ipojuca.,dispõe,aumento
359,1375,2003,Aumenta a verba de gabinete e dá outras providências.,outra,outra
360,1376,2003,"Institui a contribuição para o custeio do serviço iluminação pública do município do ipojuca, prevista no artigo 149a da constituição federal e dá outras providências.",institui,outra
361,1377,2003,"Autoriza o poder executivo a usar parâmetros para determinação do valor venal de imóvel edificado ou não para efeito do lançamento do iptu do exercício 2004, e dá outras providencias.",autoriza poder executivo,outra
362,1378,2003,Altera dispositivos da lei 1.181 de 30 de dezembro de 1998 e dá outras providências.,altera lei,-
363,1380,2004,"Dispõe sobre o plano de cargos e salários da administração direta do poder executivo do município do ipojuca - pe, estabelece normas gerais de enquadramento e dá outras providências.",dispõe,plano
364,1381,2004,"Dispõe sobre o plano de cargos e salários dos servidores efetivos da administração direta do poder executivo do município do ipojuca - f pe, estabelece normas gerais de enquadramento e dá outras providências.",dispõe,plano
365,1382,2004,"Altera o anexo l da lei municipal n° 1349, de 25 de fevereiro de 2003.",altera lei,-
366,1383,2004,"Cria cargos de provimento efetivo na estrutura organizacional do poder executivo, e dá outras providências.",cria,cargos
367,1384,2004,"Cria cargos de provimento em comissão na estrutura do poder executivo, e dá outras providências.",cria,cargos
368,1385,2004,"Acrescenta o parágrafo único ao artigo 2° e revoga o artigo 3°, da lei 1240/2001 , e dá outras providências.",outra,outra
369,1386,2004,"Cria duas vagas no quadro de assessores jurídicos - símbolo cc-iv da prefeitura municipal do ipojuca, para atuação na assessoria jurídica do município à disposição do poder judiciário.",cria,outra
370,1387,2004,Altera os arts. 8° e 9° da lei n° 1.367 de 02 dezembro de 2003 que autoriza abertura de créditos suplementares e dá outras providências.,altera lei,-
371,1388,2004,"Altera dispositivos da lei 1351/03 que dispõe sobre o plano de cargos, carreiras e remuneração do magistério público municipal e dá outras providências.",altera lei,-
372,1389,2004,"Autoriza a contratação temporária de pessoal por excepcional interesse público para as funções que especifica, e dá outras providências.",autoriza poder executivo,outra
373,1390,2004,"Autoriza o poder executivo, a regularizar por terceiros, de lotes de terrenos nos loteamentos canoas, santo antónio e antónio dourado neto e dá outras providências.",autoriza poder executivo,outra
374,1392,2004,"Cria nome de rua localizada na praia de serrarnbi, neste município providências,",cria,nome
375,1394,2004,Dispõe sobre a revisão do plano plurianual do município do ipojuca para o exercício de 2005 e dá outras providências.,dispõe,revisão
376,1395,2004,Estabelece as diretrizes orçamentarias do município de ipojuca para o exercício de 2005 e dá outras providências.,receitas e despesas,estabelece
377,1396,2004,"Dispõe sobre a estrutura organizacional, reformulação do quadro de pessoal da câmara municipal de ipojuca-pe, estabelecimento de deveres e atribuições, criação de cargos e dá outras providências.",dispõe,estrutura
378,1397,2004,"Altera a redação do inciso iv, do artigo 69, da lei n° 1393, de 21 de maio de 2004 e dá outras providências.",altera lei,-
379,1398,2004,"Denomina nome de praça localizada às margens da rua manoel gomes e outras no loteamento canoas no distrito de nossa senhora do ó, neste município do ipojuca e dá outras providências.",denomina,nome
380,1399,2004,"Cria nome de logradouro público localizado no distrito de nossa senhora do ó, neste município do ipojuca, e dá outras providências.",cria,nome
381,1400,2004,Dispõe sobre a estrutura do poder executivo do município do ipojuca e dá outras providências.,dispõe,estrutura
382,1402,2004,"Fixa o subsídio do prefeito, do vice-prefeito e dos secretários municipais do município de ipojuca a viger a partir de 1° de janeiro de 2005.",receitas e despesas,fixa
383,1403,2004,Fixa o subsídio dos vereadores do município de ipojuca para a legislatura 2005/2008.,receitas e despesas,fixa
384,1404,2005,Altera o anexo iii da lei n° 1396/2004 e dá outras providências.,altera lei,-
385,1406,2005,"Dá o nome de escola modelo exprefeito jaime agostinho lins, à escola municipal localizada na 1a travessa do colégio aderbal jurema, nesta cidade de ipojuca, e dá outras providências.",denomina,outra
386,1407,2005,Regulamenta e estabelece valor para concessão de diárias aos vereadores e servidores da câmara municipal de ipojuca-pe e dá outras providências.,outra,outra
387,1408,2005,"Cria nome de rua localizada no distrito de nossa senhora do ó, neste município de ipojuca, e dá outras providências.",cria,nome
388,1409,2005,Dispõe sobre a criação de programas sociais e dá outras providências.,dispõe,criação
389,1410,2005,"Institui o percentual do adicional noturno para os servidores do município, fixa a hora de trabalho noturna, e os procedimentos de apuração e pagamento do adicional noturno.",institui,outra
390,1411,2005,Reajusta a verba de gabinete e dá outras providências.,reajusta,outra
391,1412,2005,Disciplina a concessão de incentivos fiscais aos agentes económicos e dá outras providências.,concede,outra
392,1413,2005,"Modifica os deveres e atribuições dos cargos de provimento em comissão constantes do anexo iv - tabela ""b"" da lei n° 1396/2004 e da lei 1404/2005 e dá outras providências.",altera lei,-
393,1414,2005,Cria cargos comissionados no âmbito da procuradoria geral do município e dá outras providências.,cria,cargos
394,1415,2005,"Altera o anexo único da lei n° l .409, de 30 de março de 2005 e dá outras providencias.",altera lei,-
395,1416,2005,Dispõe sobre o plano plurianual - ppa para o quadriénio 2006-2009 e dá outras providências.,dispõe,plano
396,1417,2005,Estabelece as diretrízes orçamentarias do município do ipojuca para o exercício de 2006 e dá outras providências.,receitas e despesas,estabelece
397,1418,2005,Altera o artigo 10 da lei n° 1.381/2004 e dá outras providências.,altera lei,-
398,1419,2005,Autoriza a cessão de direito decorrente das leis n° 1.162/98 e 1.202/99 e dá outras providências.,autoriza poder executivo,outra
399,1420,2005,"Institui no calendário oficial de eventos do município do ipojuca, no dia 14 de outubro, louvação ao dia do evangélico e dá outras providencias.",institui,outra
400,1422,2006,Institui a verba indenizatória do exercício parlamentar da câmara municipal do ipojuca e dá outras providências.,institui,outra
401,1423,2006,Altera o anexo - 1 da lei n° 1 .404/2005 e dá outras providências.,altera lei,-
402,1424,2006,"Modifica o anexo único da lei 1414/2005, criando 8 (oito) cargos de superintendente de serviços.",altera lei,-
403,1425,2006,"Reajusta os valores nominais do vencimento base dos servidores públicos, a remuneração dos cargos em comissão, o vencimento dos contratados por prazo determinado, e dá outras providências.",reajusta,outra
404,1426,2006,"Equipara os vencimentos dos professores contratados temporariamente aos professores efetivos, cria símbolo e vencimento específico para os agentes de segurança escolar e dá nova redação ao §2° do artigo 11 da lei 1400/2004.",outra,outra
405,1427,2006,Altera o artigo 20 da lei 1.355/2003 atualizando os parâmetros de remuneração dos conselheiros tutelares de acordo com a tabela constante da lei n° 1.400/2004 e atualizações posteriores.,altera lei,-
406,1428,2006,Acrescenta parágrafo único ao artigo 4° da lei 1.133/1997 e regulamenta a cessão dos representantes do sindicato dos servidores do município do ipojuca.,outra,outra
407,1429,2006,Autoriza o poder executivo a doar imóvel para o cefet-pe centro federal de educação tecnológica de pernambuco e revoga a autorização para a cessão de direito decorrente da lei n° 1419/2005.,autoriza poder executivo,outra
408,1430,2006,"Altera o art. 3° da lei 1.281/2001, o inciso ii do art. 3° da lei 1.307/2002 e os anexos ii e iii da lei n° 1.400/2004, cria cargos comissionados e dá outras providências.",altera lei,-
409,1431,2006,"Cria cargos em comissão no âmbito das secretarias de infra-estrutura e de desenvolvimento económico, urbanismo e turismo.",cria,cargos
410,1432,2006,"Altera os artigos 149, 150 e 151 da lei 1.181 de 30 de dezembro de 1998 - código tributário do município e dá outras providências.",altera lei,-
411,1433,2006,Incentiva a quitação e o parcelamento especial de créditos junto ao município do ipojuca.,outra,outra
412,1434,2006,"Autoriza o poder executivo a abrir crédito suplementar ao orçamento fiscal do município de ipojuca, relativo ao exercício de 2006 e dá outras providências.",autoriza poder executivo,outra
413,1435,2006,Altera o anexo - 1 da lei n° 1.423/2005 e dá outras providências.,altera lei,-
414,1436,2006,Cria o conselho municipal de defesa dos direitos humanos e dá outras providencias.,cria,conselho
415,1437,2006,Modifica o artigo 4° da lei 1337/2002 e dá outras providencias.,altera lei,-
416,1438,2006,"Institui sistema de credenciamento de veículos automotores para a prestação de serviços aos órgãos e entidades do poder executivo municipal, estabelece parâmetros e tabela de remuneração dos serviços, e dá outras providências.",institui,outra
417,1439,2006,Cria a guarda municipal do ipojuca e dá outras providências.,cria,outra
418,1440,2006,Autoriza o poder executivo a contratar servidores através de contratos por tempo determinado para as funções que especifica e dá outras providências.,autoriza poder executivo,outra
419,1441,2006,"Abre crédito suplementar ao orçamento fiscal do município, relativo ao exercício de 2006, e dá outras providências.",outra,outra
420,1442,2006,"Reestrutura o regime próprio de previdência social do município do ipojuca, do estado de pernambuco, instituído pela lei municipal n. 1.393, de 21 de maio de 2004, e dá outras providências.",outra,outra
421,1443,2006,"Abre crédito suplementar ao orçamento fiscal do município, relativo ao exercício de 2006, e dá outras providências.",outra,outra
422,1444,2006,"Abre crédito suplementar ao orçamento fiscal do município de ipojuca, relativo ao exercício de 2006 e dá outras providências.",outra,outra
423,1445,2006,Estabelece as diretrizes orçamentarias do município do ipojuca para o exercício de 2007 e dá outras providências.,receitas e despesas,estabelece
424,1446,2006,Dispõe sobre a revisão do plano plurianual do município do ipojuca para o exercício de 2007 e dá outras providências.,dispõe,revisão
425,1447,2006,"Dispõe sobre a aplicação de penalidades à prática de ""assédio moral"" nas dependências da administração pública municipal direta e indireta por servidores públicos municipais.",dispõe,outra
426,1448,2006,"Autoriza o pagamento de gratificação mensal de r$ 700,00 (setecentos reais) para servidores do poder executivo integrantes do grupo de trabalho para acompanhamento da elaboração do plano diretor do município do ipojuca.",autoriza poder executivo,outra
427,1449,2006,Lei de diretrizes orçamentárias - 2009.,outra,outra
428,1449,2006,"Autoriza o poder executivo a abrir crédito suplementar ao orçamento fiscal do município de ipojuca, relativo ao exercício de 2006 e dá outras providências.",autoriza poder executivo,outra
429,1450,2006,"Autoriza o poder executivo a abrir crédito suplementar ao orçamento fiscal do município de ipojuca, relativo ao exercício de 2006 e dá outras providências.",autoriza poder executivo,outra
430,1451,2006,Estima a receita e fixa a despesa da prefeitura do ipojuca para o exercício de 2007.,receitas e despesas,estima
431,1452,2006,"Cria o programa municipal de incentivo à prática do esporte surf, e dá outras providencias.",cria,outra
432,1453,2006,"Modifica os anexos i e iii da lei 1396/2004, cria os cargos de secretário administrativo e secretário administrativo adjunto e dá outras providências.",altera lei,-
433,1454,2006,Reduz o valor da verba indenizatória do exercício parlamentar da câmara municipal do ipojuca.,outra,outra
434,1455,2006,?,?,outra
435,1456,2006,"Abre o orçamento fiscal do exercício 2006, autoriza a celebração de convénio com o centro federal de ensino tecnológico de pernambuco para realização de despesas com terraplanagem no terreno doado pela prefeitura do município do ipojuca.",outra,outra
436,1457,2007,"Cria nome da avenida que se inicia na praça getúlio vargas até a pe-60, nesta cidade de ipojuca, e dá outras providências.",cria,nome
437,1458,2007,Altera o anexo - l da lei n° 1.396/2004 e dá outras providências.,altera lei,-
438,1459,2007,Institui o auxilio alimentação no âmbito da câmara municipal de ipojuca.,institui,outra
439,1460,2007,Autoriza o poder executivo a abrir crédito suplementar ao orçamento fiscal do exercício de 2007 do município o ípojuca.,autoriza poder executivo,outra
440,1461,2007,Altera o anexo - l da lei n° 1.400/2004 e dá outras providências.,altera lei,-
441,1462,2007,Dispõe sobre a abertura de crédito suplementar e dá outras providências.,dispõe,abertura
442,1463,2007,"Dá o nome de avenida dona maria do carmo pontual de petribú, a avenida projetada existente no loteamento marina do rio aquirá, na praia de toquinho.",denomina,outra
443,1464,2007,"Dá o nome de rua marcos pontual de petribú a rua projetada existente no loteamento marina do rio aquirá, na praia de toquinho.",denomina,outra
444,1465,2007,"Dá o nome de praça engenheiro pedro pessoa cavalcanti de petribú a praça existente no loteamento marina do rio aquirá, na praia de toquinho.",denomina,outra
445,1466,2007,"Reajusta os valores nominais do vencimento base dos servidores públicos, a remuneração dos cargos em comissão, o vencimento dos contratados por prazo determinado, e dá outras providências.",reajusta,outra
446,1467,2007,"Cria a secretaria de turismo, esportes e cultura, modifica a lei 1400/2004 e dá outras providências.",cria,secretaria
447,1468,2007,Cria a coordenadoria municipal de defesa civil (comdec) do município do ipojuca e dá outras providências.,cria,outra
448,1469,2007,Dispõe sobre a criação do conselho municipal acompanhamento e controle social do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação - conselho do fundeb.,dispõe,criação
449,1470,2007,"Dá o nome de escola municipal luiz manoel nogueira à escola (em construção) localizada na avenida dr. humberto da costa soares, no distrito de camela, e dá outras providências.",denomina,outra
450,1471,2007,"Autoriza o chefe do poder executivo municipal a permutar área que especifica na praia de maracaípe distrito de nossa senhora do ó, e da outras providências.",autoriza poder executivo,outra
451,1472,2007,Concede incentivos fiscais à empresa estaleiro atlântico sul s/a na forma da lei 1412/2005 e dá outras providências.,concede,outra
452,1473,2007,Prorroga o prazo de que trata o artigo 1° da lei 1429/2006.,outra,outra
453,1474,2007,Altera o anexo - l da lei n° 1.400/2004 e dá outras providências.,altera lei,-
454,1475,2007,"Altera a estrutura organizacional da câmara, cria cargos de provimento efetivo, modifica as atribuições e dá outras providências.",altera lei,-
455,1476,2007,Dispõe sobre a revisão do plano plurianual do município do ipojuca para o exercício de 2008 e dá outras providências.,dispõe,revisão
456,1477,2007,Estabelece as diretrizes orçamentarias do município do ipojuca para o exercício de 2008 e dá outras providências.,receitas e despesas,estabelece
457,1478,2007,"Concede incentivos fiscais à empresa terminal químico de aratil s/a tequimar na forma da lei 1.412/200,6 e dá outras proviências.",concede,outra
458,1479,2007,Concede incentivos fiscais à empresa m&g polímeros brasil s/a na forma da lei 1.412/2006 e dá outras proviências.,concede,outra
459,1480,2007,Altera o anexo - l da lei n° 1.400/2004 e dá outras providências.,altera lei,-
460,1481,2007,Autoriza o poder executivo municipal a vender e ou permutar bens imóveis nas áreas públicas que especifica e dá outras providencias.,autoriza poder executivo,outra
461,1482,2007,Dispõe sobre abertura de crédito suplementar e dá outras providências.,dispõe,crédito
462,1484,2008,"Cria cargos no âmbito da administração direta, na área da saúde; altera dispositivos da lei municipal n° 1430/2006; a lei municipal 1.307/2002, que cria o programa de agentes comunitários de saúde; e possibilita as incorporações de servidores temporários na forma do parágrafo único do art. 2° da emenda constitucional n.° 51, de 14 de fevereiro de 2006.",cria,cargos
463,1485,2008,"Reajusta os valores nominais do vencimento dos servidores públicos, dos cargos em comissão, e dos contratados por prazo determinado e dá outras providências.",reajusta,outra
464,1486,2008,"Dispõe sobre o reajuste dos funcionários comissionados, efetivos, aposentados e pensionistas da câmara municipal de ipojuca.",dispõe,reajuste
465,1487,2008,Altera a lei 1.442 de 04 de setembro de 2006 e dá outras providências.,altera lei,-
466,1488,2008,"Modifica o art. 7°, inciso i da lei 1483/2007 e dá outras providências.",altera lei,-
467,1489,2008,"Desafeta do domínio público os bens cuja permuta ou alienação foram autorizados nas leis 1.471/2007 e 1.481/2007, e dá outras providências.",desafeta,outra
468,1490,2008,Aprova o plano diretor participativo do município e dispõe sobre as condições de sua implementação no território municipal.,outra,outra
469,1491,2008,"Desafeta parte de praça pública que menciona, visando sua destinação a cessão de uso para construção de centro de treinamento e uma |nstjtujção de ensino superior.",desafeta,outra
470,1492,2008,Cria no âmbito municipal o programa bolsa família (pbf).,cria,outra
471,1493,2008,Revisa o valor da verba indenizatória do exercício parlamentar.,outra,outra
472,1494,2008,Dispõe sobre o estatuto dos servidores públicos do município do ipojuca e dá outras providências.,dispõe,outra
473,1495,2008,"Autoriza o poder executivo a doar, com encargos, imóvel para a união federal e dá outras providências.",autoriza poder executivo,outra
